影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
忍者神龟：变种时代,乔纳森·里贝斯曼,乔什·阿佩尔鲍姆;安德烈·内梅克;埃文·达赫迪;彼得·拉尔德;凯文·伊斯特曼,梅根·福克斯;威尔·阿奈特;威廉·菲德内尔;阿兰·里奇森;诺尔·费舍;皮特·普劳泽克;约翰尼·诺克斯维尔;杰瑞米·霍华德;丹尼·伍德伯恩;托尼·夏尔赫布;水源士郎;乌比·戈德堡;野路美苗;艾比·艾略特;麦迪逊·梅森,喜剧;动作;科幻;冒险,美国,英语 / 日语,2014-10-31(中国大陆);2014-08-03(纽约首映);2014-08-08(美国)
性本恶,保罗·托马斯·安德森,保罗·托马斯·安德森;托马斯·品钦,杰昆·菲尼克斯;乔什·布洛林;欧文·威尔逊;瑞茜·威瑟斯彭;本尼西奥·德尔·托罗;凯瑟琳·沃特斯顿;吉娜·马隆;玛娅·鲁道夫;马丁·肖特;乔安娜·纽桑;珍妮·柏林;埃里克·罗伯茨;迈克尔·肯尼斯·威廉姆斯;凯瑟琳·海娜·金;山姆·贾格;蒂莫西·西蒙斯;吉莉恩·贝尔;贝拉唐娜;伊兰妮·谭;萨莎·皮特丝;威尔逊·贝索尔;安德雷斯·霍尔姆;塞雷娜·斯科特·托马斯;香农·克里斯;伊薇特·耶茨,剧情;喜剧;犯罪,美国,英语 / 日语,2014-10-04(纽约电影节);2015-01-09(美国)
哥斯拉,加里斯·爱德华斯,麦克思·鲍伦斯坦;戴夫·卡拉汉姆,亚伦·泰勒-约翰逊;卡梅隆·CJ·亚当斯;渡边谦;布莱恩·科兰斯顿;伊丽莎白·奥尔森;卡森·波尔德;莎莉·霍金斯;朱丽叶·比诺什;大卫·斯特雷泽恩;理查德·琼斯;维克多·罗塞克;帕特里克·萨邦圭;杰瑞德·基苏,动作;科幻;冒险;灾难,美国 / 日本,英语 / 日语,2014-06-13(中国大陆);2014-03-08(洛杉矶首映);2014-05-16(美国)
7500航班,清水崇,克雷格·罗森伯格,瑞恩·柯万腾;艾米·斯马特;莱丝莉·比伯;杰米·钟;妮基·韦兰;杰瑞·费拉拉;克里斯蒂·瑟拉图斯;阿里克斯·弗罗斯特;乔纳森·斯卡奇,惊悚;恐怖,日本 / 美国,英语 / 日语,2014-06-11(菲律宾);2014-10-03(美国);2015-07-25(日本)
金刚狼2,詹姆斯·曼高德,马克·鲍姆贝克;斯科特·弗兰克,休·杰克曼;冈本多绪;福岛莉拉;真田广之;斯维特拉纳·库德钦科娃;布莱恩·泰;山内春彦;法米克·詹森;李威尹,动作;科幻,美国 / 英国,英语 / 日语,2013-10-17(中国大陆);2013-07-26(美国)
达拉斯买家俱乐部,让-马克·瓦雷,克莱格·鲍登;梅丽莎·沃雷克,马修·麦康纳;詹妮弗·加纳;杰瑞德·莱托;史蒂夫·茨恩;达拉斯·罗伯特斯;凯文·兰金;丹尼斯·欧哈拉;简·麦克尼尔;格里芬·邓恩;詹姆斯·杜蒙特;朱丽叶·里夫斯;斯蒂菲·格罗特;J·D·埃弗摩尔,剧情;同性;传记,美国,英语 / 日语,2013-09-07(多伦多电影节);2013-11-22(美国)
钢铁侠：噬甲危机,浜崎博嗣,唐·赫克;Brandon Auman,诺曼·瑞杜斯;马修·默瑟;凯瑞·华格伦;克莱尔·格兰特;特罗伊·贝克,动作;科幻;动画,日本,英语 / 日语,2013-04-16(美国)
林中小屋,德鲁·高达,德鲁·高达;乔斯·韦登,克里斯汀·康奈利;理查德·詹金斯;弗兰·克朗茨;布莱德利·惠特福德;杰西·威廉姆斯;克里斯·海姆斯沃斯;安娜·哈彻森;西格妮·韦弗;艾米·阿克;布莱恩·J·怀特,喜剧;悬疑;恐怖,美国,英语 / 日语,2012-03-09(西南偏南电影节);2012-04-13(美国)
生化危机4：战神再生,保罗·安德森,保罗·安德森,米拉·乔沃维奇;艾丽·拉特;温特沃斯·米勒;西耶娜·盖尔利;波瑞斯·科乔;肖恩·罗伯茨;金·寇兹;史宾塞·洛克;凯茜·克拉克,动作;科幻;恐怖,德国 / 法国 / 美国 / 加拿大,英语 / 日语,2010-11-16(中国大陆);2010-09-10(美国)
光晕：传奇,荒牧伸志;Frank O'Connor;押井守;二村秀树;真下耕一,Joseph Staten;川崎裕之;西尾大介,Andy McAvin,动作;科幻;动画,美国 / 日本,英语 / 日语,2010-02-16(美国)
超梦！我就在这里,日高政光,,Veronica Taylor;大谷育江,动画;家庭;冒险,日本,英语 / 日语,2000/12/30
寻找1967的女神,罗卓瑶,方令正;罗卓瑶,萝丝·拜恩;黑川力矢;尼古拉斯·霍普;伊丽丝·麦克雷迪;堺雅人;Tina Bursill,剧情;爱情,澳大利亚,英语 / 日语,2000/9/2
鲁邦三世：一美元战争,殿勝秀樹;柏原寛司,,栗田贯一;小林清志;秋元羊介;坂東尚樹 Bandou Naoki;小山武宏 Koyama Takehiro;田原アルノ Tahara Aruno;谷昌樹 Tani Masaki;鳥畑洋人 Torihata Hiroto;横尾博之 Yokoo Hiroyuki;清水敏孝 Shimizu Toshitaka;永田亮子 Nagata Ryoko;増山江威子 Eiko Masuyama;井上真樹夫 Makio Inoue;納谷悟朗 Goro Naya;松本梨香 Matsumoto Rica;小山茉美 Mami Koyama;中田譲治 Nakata George;松岡文雄 Matsuoka Fumio;峰恵研 Eken Mine,喜剧;动作;动画;悬疑;犯罪;冒险,日本,英语 / 日语,2000/7/28
